2017,Violacion agravada, Buenos Aires ,1;
2018,Delitos contra las personas (culposos), Buenos Aires ,580;
2018,Delitos contra las personas (dolosos), Buenos Aires ,4702;
2018,Delitos contra el honor, Buenos Aires ,0;
2018,Delitos contra la integridad sexual, Buenos Aires ,1622;
2018,Delitos contra el estado civil, Buenos Aires ,11;
2018,Delitos contra la libertad, Buenos Aires ,3826;
2018,Delitos contra la propiedad, Buenos Aires ,6175;
2018,Delitos contra la seguridad publica, Buenos Aires ,2181;
2018,Delitos contra el orden publico, Buenos Aires ,70;
2018,Delitos contra la administracion publica, Buenos Aires ,3456;
2018,Delitos contra la fe publica, Buenos Aires ,137;
2018,Delitos previstos por Leyes Especiales y Decretos Ley, Buenos Aires ,878;
2018,Delitos previstos por Leyes de Estupefacientes, Buenos Aires ,1891;
2018,Delitos de lesa humanidad (Ataque generalizado o sistematico contra una poblacion civil), Buenos Aires ,2;
2018,Delitos contra el orden economico y financiero, Buenos Aires ,0;
2018,Otros, Buenos Aires ,60;
2018,Abandono de parientes y conyuge, Buenos Aires ,1;
2018,Abandono de persona, Buenos Aires ,6;
2018,Abandono de persona calificado, Buenos Aires ,2;
2018,Abandono de persona seguido de muerte, Buenos Aires ,5;
2018,Aborto, Buenos Aires ,1;
2018,Aborto cometido por profesional, Buenos Aires ,0;
2018,Aborto con consentimiento, Buenos Aires ,0;
2018,Aborto con consentimiento seguido de muerte, Buenos Aires ,0;
2018,Aborto preterintencional, Buenos Aires ,0;
2018,Aborto sin consentimiento, Buenos Aires ,3;
2018,Aborto sin consentimiento seguido de muerte, Buenos Aires ,1;
2018,Abuso de armas, Buenos Aires ,268;
2018,Agresion con toda arma, Buenos Aires ,36;
2018,Disparo de arma de fuego con herida, Buenos Aires ,2;
2018,Disparo de arma de fuego sin herir, Buenos Aires ,23;
2018,Disparo de arma de fuego y agresion agravada, Buenos Aires ,36;
2018,Disparo de arma de fuego y agresion en estado de emocion violenta, Buenos Aires ,2;
2018,Duelo irregular, Buenos Aires ,0;
2018,Femicidio, Buenos Aires ,74;
"2018,""Homicidio """"crimis causa"""""", Buenos Aires ,74";
2018,Homicidio calificado, Buenos Aires ,92;
"2018,""Homicidio calificado a miembros de seguridad, policial o penitenciaria"", Buenos Aires ,10";
2018,Homicidio calificado por el vinculo, Buenos Aires ,130;
2018,Homicidio con el proposito de causar sufrimiento a una persona con la que se mantiene o ha mantenido una relacion, Buenos Aires ,0;
"2018,""Homicidio con ensa–amiento, alevosia, insidia"", Buenos Aires ,25";
2018,Homicidio en estado de emocion violenta, Buenos Aires ,0;
2018,Homicidio en exceso de la legitima defensa, Buenos Aires ,16;
2018,Homicidio en ri–a, Buenos Aires ,14;
2018,Homicidio en ri–a calificado, Buenos Aires ,4;
"2018,""Homicidio por abuso de su funcion o cargo, cuando fuere miembro integrante de la fuerza de seguridad, policiales o del servicio penitenciario"", Buenos Aires ,5";
"2018,""Homicidio por placer, codicia, odio racial o religioso"", Buenos Aires ,0";
2018,Homicidio por precio o promesa remuneratoria, Buenos Aires ,1;
2018,Homicidio premeditado; pluralidad de agentes, Buenos Aires ,20
2018,Homicidio preterintencional, Buenos Aires ,20;
2018,Homicidio preterintencional calificado, Buenos Aires ,1;
2018,Homicidio simple, Buenos Aires ,440;
2018,Homicidio utilizando medio catastrofico, Buenos Aires ,3;
2018,Infanticidio, Buenos Aires ,0;
2018,Instigacion o ayuda al suicidio, Buenos Aires ,0;
2018,Lesiones, Buenos Aires ,15;
2018,Lesiones en estado de emocion violenta, Buenos Aires ,1;
2018,Lesiones en ri–a calificadas, Buenos Aires ,5;
2018,Lesiones graves, Buenos Aires ,443;
2018,Lesiones graves calificadas, Buenos Aires ,154;
2018,Lesiones graves o gravisimas en ri–a, Buenos Aires ,4;
2018,Lesiones gravisimas, Buenos Aires ,9;
2018,Lesiones gravisimas calificadas, Buenos Aires ,5;
2018,Lesiones leves, Buenos Aires ,1217;
2018,Lesiones leves calificadas, Buenos Aires ,1525;
2018,Lesiones leves en ri–a, Buenos Aires ,9;
2018,Abuso sexual, Buenos Aires ,355;
"2018,""Abuso sexual  cometido por ascendiente, descendiente, a fin en linea recta, hermano, tutor, curador, ministro de algun culto reconocido o no, encargado de la educacion o de la guarda"", Buenos Aires ,170";
2018,Abuso sexual agravado, Buenos Aires ,307;
2018,Abuso sexual agravado por acceso carnal, Buenos Aires ,209;
